ville;latitudeArr;longitudeArr
PARIS 01;48.859;2.342
PARIS 02;48.867;2.343
PARIS 03;48.862;2.360
PARIS 04;48.856;2.356
PARIS 05;48.845;2.349
PARIS 06;48.849;2.332
PARIS 07;48.856;2.321
PARIS 08;48.874;2.318
PARIS 09;48.879;2.337
PARIS 10;48.876;2.359
PARIS 11;48.859;2.378
PARIS 12;48.841;2.387
PARIS 13;48.831;2.355
PARIS 14;48.833;2.327
PARIS 15;48.841;2.301
PARIS 16;48.863;2.276
PARIS 17;48.884;2.322
PARIS 18;48.892;2.344
PARIS 19;48.884;2.385
PARIS 20;48.862;2.401
LYON 01;45.767;4.836
LYON 02;45.757;4.830
LYON 03;45.750;4.864
LYON 04;45.775;4.825
LYON 05;45.760;4.826
LYON 06;45.766;4.855
LYON 07;45.746;4.841
LYON 08;45.735;4.872
LYON 09;45.769;4.805
MARSEILLE 01;43.297;5.380
MARSEILLE 02;43.302;5.362
MARSEILLE 03;43.313;5.369
MARSEILLE 04;43.305;5.396
MARSEILLE 05;43.303;5.399
MARSEILLE 06;43.282;5.377
MARSEILLE 07;43.275;5.366
MARSEILLE 08;43.259;5.385
MARSEILLE 09;43.250;5.407
MARSEILLE 10;43.310;5.395
MARSEILLE 11;43.288;5.405
MARSEILLE 12;43.302;5.429
MARSEILLE 13;43.329;5.417
MARSEILLE 14;43.347;5.401
MARSEILLE 15;43.351;5.335
MARSEILLE 16;43.277;5.356
